CIRCLE,CATEGORY,Year,Consumption
Ganeshkhind Urban Circle,TOTAL,2013,30766.61168
Rastapeth Urban Circle,TOTAL,2013,38113.86074
Ganeshkhind Urban Circle,TOTAL,2014,33749.8129
Rastapeth Urban Circle,TOTAL,2014,40986.86883
Ganeshkhind Urban Circle,TOTAL,2015,41309.15325
Rastapeth Urban Circle,TOTAL,2015,35678.48658
Ganeshkhind Urban Circle,TOTAL,2016,40273.13783
Rastapeth Urban Circle,TOTAL,2016,34539.61984
Ganeshkhind Urban Circle,TOTAL,2017,44767.81482
Rastapeth Urban Circle,TOTAL,2017,38060.7811
