_id,Date,Parvati       M.L.D,New & Old cantonment  M.L.D,Old Holkar  M.L.D,Waraje Close Pipe  M.L.D,Vadgaon Close Pipe M.L.D,Total M.L.D,T.M.C.,Day_Index
1,2017-12-01,480.900,424,12.000,244.520,189.140,1350.56,0.048,0
2,2017-12-02,480.450,424,11.680,235.150,190.070,1341.35,0.047,1
3,2017-12-03,480.750,424,11.340,242.850,191.000,1349.94,0.048,2
4,2017-12-04,475.125,424,11.420,237.120,190.160,1337.825,0.047,3
5,2017-12-05,481.425,424,11.830,242.790,192.090,1352.135,0.048,4
6,2017-12-06,481.725,424,11.820,244.080,187.400,1349.025,0.048,5
7,2017-12-07,481.500,424,11.750,246.390,189.880,1353.52,0.048,6
8,2017-12-08,473.625,424,11.690,244.660,193.890,1347.865,0.048,7
9,2017-12-09,480.975,424,12.230,246.240,190.520,1353.965,0.048,8
10,2017-12-10,473.675,401,11.080,246.530,189.090,1321.375,0.047,9
11,2017-12-11,484.425,424,11.540,249.250,194.520,1363.735,0.048,10
12,2017-12-12,481.275,424,12.490,248.350,192.800,1358.915,0.048,11
13,2017-12-13,479.100,424,12.490,249.190,195.420,1360.2,0.048,12
14,2017-12-14,480.450,424,11.750,249.250,186.770,1352.22,0.048,13
15,2017-12-15,479.175,426,11.760,251.950,193.950,1362.835,0.048,14
16,2017-12-16,481.800,420.12,11.920,244.200,188.880,1346.92,0.048,15
17,2017-12-17,477.650,479.766,11.010,246.370,194.490,1409.286,0.050,16
18,2017-12-18,475.650,424.63,11.830,247.030,190.100,1349.24,0.048,17
19,2017-12-19,477.600,426.19,11.750,251.050,191.760,1358.35,0.048,18
20,2017-12-20,488.590,422,12.090,243.850,193.170,1359.7,0.048,19
21,2017-12-21,224.300,137.93,10.390,12.510,63.360,448.49,0.016,20
22,2017-12-22,463.925,414.57,11.700,248.200,193.410,1331.805,0.047,21
23,2017-12-23,488.550,422,11.340,250.150,195.240,1367.28,0.048,22
24,2017-12-24,479.325,422,11.490,239.130,192.010,1343.955,0.047,23
25,2017-12-25,485.425,422,10.500,246.550,191.680,1356.155,0.048,24
26,2017-12-26,481.700,422,10.980,244.900,193.030,1352.61,0.048,25
27,2017-12-27,482.025,423,11.670,241.990,187.470,1346.155,0.048,26
28,2017-12-28,478.875,421,11.530,248.280,190.720,1350.405,0.048,27
29,2017-12-29,479.650,422,11.930,248.550,189.600,1351.73,0.048,28
30,2017-12-30,478.650,420,11.940,244.300,192.410,1347.3,0.048,29
31,2017-12-31,481.775,421,11.420,249.250,188.370,1351.815,0.048,30
